"","Date_Submittted","Analyte_.Lead.","Result_Lead_.PPB.","Analyte_.Copper.","Result_Copper_.PPB.","Address","City","Zip_Code","Site_Code","Service_Line_Material","Sample_Location","Sentinel_Group_Number","Date_Submittted","Analyte_.Lead.","Result_Lead_.PPB.","Analyte_.Copper.","Result_Copper_.PPB.","Address","City","Zip_Code","Site_Code","Service_Line_Material","Sample_Location","Sentinel_Group_Number","Date_Submittted","Analyte_.Lead.","Result_Lead_.PPB.","Analyte_.Copper.","Result_Copper_.PPB.","Address","City","Zip_Code","Site_Code","Service_Line_Material","Sample_Location","Sentinel_Group_Number","Date_Submittted","Analyte_.Lead.","Result_Lead_.PPB.","Analyte_.Copper.","Result_Copper_.PPB.","Address","City","Zip_Code","Site_Code","Service_Line_Material","Sample_Location","Sentinel_Group_Number"
"352","16-Feb-16","Lead",7,"Copper",0,"THOMAS ST   ","FLINT",48504,"FS0096","Copper","KITCHEN",1,"02-Mar-16","Lead",0,"Copper",0,"THOMAS ST   ","FLINT",48504,"FS0096","Copper","KITCHEN",2,"16-Mar-16","Lead",2,"Copper",0,"THOMAS ST   ","FLINT",48504,"FS0096","Copper","KITCHEN",3,"31-Mar-16","Lead",2,"Copper",0,"THOMAS ST   ","FLINT",48504,"FS0096","Copper","KITCHEN",4
"233","16-Feb-16","Lead",2,"Copper",80,"MALLERY ST   ","FLINT",48504,"FS0097","Copper","KITCHEN",1,"02-Mar-16","Lead",0,"Copper",80,"MALLERY ST   ","FLINT",48504,"FS0097","Copper","BATHROOM",2,"16-Mar-16","Lead",0,"Copper",80,"MALLERY ST   ","FLINT",48504,"FS0097","Copper","BATHROOM",3,"30-Mar-16","Lead",0,"Copper",0,"MALLERY ST   ","FLINT",48504,"FS0097","Copper","BATHROOM",4
"461","16-Feb-16","Lead",1,"Copper",0,"MASON ST   ","FLINT",48503,"FS0113","Galvanized","BATHROOM",1,"07-Mar-16","Lead",0,"Copper",0,"MASON ST   ","FLINT",48503,"FS0113","Galvanized","BATHROOM",2,"17-Mar-16","Lead",0,"Copper",70,"MASON ST   ","FLINT",48503,"FS0113","Galvanized","KITCHEN",3,"04-Apr-16","Lead",0,"Copper",0,"MASON ST   ","FLINT",48503,"FS0113","Galvanized","KITCHEN",4
"492","16-Feb-16","Lead",3,"Copper",130,"W HAMILTON AVE  ","FLINT",48503,"FS0124","Galvanized","KITCHEN",1,"02-Mar-16","Lead",1,"Copper",90,"W HAMILTON AVE  ","FLINT",48503,"FS0124","Galvanized","KITCHEN",2,"16-Mar-16","Lead",1,"Copper",130,"W HAMILTON AVE  ","FLINT",48503,"FS0124","Galvanized","KITCHEN",3,"30-Mar-16","Lead",1,"Copper",90,"W HAMILTON AVE  ","FLINT",48503,"FS0124","Galvanized","BATHROOM",4
"331","16-Feb-16","Lead",5,"Copper",0,"LYNN CT   ","FLINT",48503,"FS0167","Copper","KITCHEN",1,"02-Mar-16","Lead",4,"Copper",0,"LYNN CT   ","FLINT",48503,"FS0167","Copper","BATHROOM",2,"17-Mar-16","Lead",0,"Copper",0,"LYNN CT   ","FLINT",48503,"FS0167","Copper","BATHROOM",3,"31-Mar-16","Lead",0,"Copper",0,"LYNN CT   ","FLINT",48503,"FS0167","Copper","BATHROOM",4
"310","16-Feb-16","Lead",4,"Copper",150,"WARNER AVE   ","FLINT",48503,"FS0168","Copper","KITCHEN",1,"03-Mar-16","Lead",1,"Copper",60,"WARNER AVE   ","FLINT",48503,"FS0168","Copper","KITCHEN",2,"16-Mar-16","Lead",0,"Copper",90,"WARNER AVE   ","FLINT",48503,"FS0168","Copper","KITCHEN",3,"30-Mar-16","Lead",0,"Copper",60,"WARNER AVE   ","FLINT",48503,"FS0168","Copper","KITCHEN",4
"236","16-Feb-16","Lead",2,"Copper",0,"GLOUCESTER ST   ","FLINT",48503,"FS0173","Copper","BATHROOM",1,"03-Mar-16","Lead",3,"Copper",70,"GLOUCESTER ST   ","FLINT",48503,"FS0173","Copper","BATHROOM",2,"20-Mar-16","Lead",2,"Copper",50,"GLOUCESTER ST   ","FLINT",48503,"FS0173","Copper","BATHROOM",3,"01-Apr-16","Lead",0,"Copper",0,"GLOUCESTER ST   ","FLINT",48503,"FS0173","Copper","BATHROOM",4
"493","16-Feb-16","Lead",3,"Copper",80,"CROMWELL AVE   ","FLINT",48503,"FS0184","Galvanized","KITCHEN",1,"02-Mar-16","Lead",2,"Copper",70,"CROMWELL AVE   ","FLINT",48503,"FS0184","Galvanized","KITCHEN",2,"17-Mar-16","Lead",2,"Copper",80,"CROMWELL AVE   ","FLINT",48503,"FS0184","Galvanized","KITCHEN",3,"30-Mar-16","Lead",2,"Copper",70,"CROMWELL AVE   ","FLINT",48503,"FS0184","Galvanized","KITCHEN",4
"237","16-Feb-16","Lead",2,"Copper",70,"SWAYZE ST   ","FLINT",48503,"FS0188","Copper","KITCHEN",1,"02-Mar-16","Lead",2,"Copper",80,"SWAYZE ST   ","FLINT",48503,"FS0188","Copper","KITCHEN",2,"16-Mar-16","Lead",2,"Copper",70,"SWAYZE ST   ","FLINT",48503,"FS0188","Copper","KITCHEN",3,"30-Mar-16","Lead",2,"Copper",60,"SWAYZE ST   ","FLINT",48503,"FS0188","Copper","KITCHEN",4
"507","16-Feb-16","Lead",4,"Copper",0,"KNAPP AVE   ","FLINT",48503,"FS0202","Galvanized","KITCHEN",1,"02-Mar-16","Lead",5,"Copper",0,"KNAPP AVE   ","FLINT",48503,"FS0202","Galvanized","KITCHEN",2,"16-Mar-16","Lead",3,"Copper",0,"KNAPP AVE   ","FLINT",48503,"FS0202","Galvanized","KITCHEN",3,"30-Mar-16","Lead",2,"Copper",0,"KNAPP AVE   ","FLINT",48503,"FS0202","Galvanized","KITCHEN",4
