"","Date_Submittted","Analyte_.Lead.","Result_Lead_.PPB.","Analyte_.Copper.","Result_Copper_.PPB.","Address","City","Zip_Code","Site_Code","Service_Line_Material","Sample_Location","Sentinel_Group_Number","Date_Submittted","Analyte_.Lead.","Result_Lead_.PPB.","Analyte_.Copper.","Result_Copper_.PPB.","Address","City","Zip_Code","Site_Code","Service_Line_Material","Sample_Location","Sentinel_Group_Number","Date_Submittted","Analyte_.Lead.","Result_Lead_.PPB.","Analyte_.Copper.","Result_Copper_.PPB.","Address","City","Zip_Code","Site_Code","Service_Line_Material","Sample_Location","Sentinel_Group_Number","Date_Submittted","Analyte_.Lead.","Result_Lead_.PPB.","Analyte_.Copper.","Result_Copper_.PPB.","Address","City","Zip_Code","Site_Code","Service_Line_Material","Sample_Location","Sentinel_Group_Number"
"206","24-Feb-16","Lead",1,"Copper",0,"WELCH BLVD   ","FLINT",48504,"FS0632","Copper","KITCHEN",1,"03-Mar-16","Lead",1,"Copper",0,"WELCH BLVD   ","FLINT",48504,"FS0632","Copper","KITCHEN",2,"17-Mar-16","Lead",1,"Copper",0,"WELCH BLVD   ","FLINT",48504,"FS0632","Copper","BATHROOM",3,"05-Apr-16","Lead",1,"Copper",0,"WELCH BLVD   ","FLINT",48504,"FS0632","Copper","KITCHEN",4
"207","24-Feb-16","Lead",1,"Copper",300,"BRENTWOOD DR   ","FLINT",48503,"FS0692","Copper","KITCHEN",1,"02-Mar-16","Lead",0,"Copper",280,"BRENTWOOD DR   ","FLINT",48503,"FS0692","Copper","KITCHEN",2,"16-Mar-16","Lead",0,"Copper",280,"BRENTWOOD DR   ","FLINT",48503,"FS0692","Copper","KITCHEN",3,"05-Apr-16","Lead",1,"Copper",300,"BRENTWOOD DR   ","FLINT",48503,"FS0692","Copper","KITCHEN",4
"66","24-Feb-16","Lead",0,"Copper",0,"HELBER ST   ","FLINT",48504,"FS0707","Copper","KITCHEN",1,"03-Mar-16","Lead",0,"Copper",0,"HELBER ST   ","FLINT",48504,"FS0707","Copper","KITCHEN",2,"17-Mar-16","Lead",0,"Copper",0,"HELBER ST   ","FLINT",48504,"FS0707","Copper","KITCHEN",3,"30-Mar-16","Lead",0,"Copper",0,"HELBER ST   ","FLINT",48504,"FS0707","Copper","KITCHEN",4
"68","24-Feb-16","Lead",0,"Copper",0,"BEGOLE ST   ","FLINT",48504,"FS0718","Copper","KITCHEN",1,"02-Mar-16","Lead",0,"Copper",0,"BEGOLE ST   ","FLINT",48504,"FS0718","Copper","KITCHEN",2,"17-Mar-16","Lead",0,"Copper",130,"BEGOLE ST   ","FLINT",48504,"FS0718","Copper","KITCHEN",3,"30-Mar-16","Lead",0,"Copper",70,"BEGOLE ST   ","FLINT",48504,"FS0718","Copper","KITCHEN",4
"69","24-Feb-16","Lead",0,"Copper",60,"MALLERY ST   ","FLINT",48504,"FS0765","Copper","KITCHEN",1,"02-Mar-16","Lead",0,"Copper",70,"MALLERY ST   ","FLINT",48504,"FS0765","Copper","KITCHEN",2,"16-Mar-16","Lead",0,"Copper",70,"MALLERY ST   ","FLINT",48504,"FS0765","Copper","KITCHEN",3,"31-Mar-16","Lead",1,"Copper",70,"MALLERY ST   ","FLINT",48504,"FS0765","Copper","KITCHEN",4
"562","25-Feb-16","Lead",5,"Copper",0,"MALLERY ST   ","FLINT",48504,"FS0886","Lead","KITCHEN",1,"03-Mar-16","Lead",3,"Copper",0,"MALLERY ST   ","FLINT",48504,"FS0886","Lead","KITCHEN",2,"17-Mar-16","Lead",7,"Copper",0,"MALLERY ST   ","FLINT",48504,"FS0886","Lead","BATHROOM",3,"30-Mar-16","Lead",12,"Copper",120,"MALLERY ST   ","FLINT",48504,"FS0886","Lead","BATHROOM",4
"605","24-Feb-16","Lead",5,"Copper",160,"KELLAR AVE   ","FLINT",48504,"FS0925","Unknown","KITCHEN",1,"04-Mar-16","Lead",9,"Copper",100,"KELLAR AVE   ","FLINT",48504,"FS0925","Unknown","KITCHEN",2,"16-Mar-16","Lead",4,"Copper",70,"KELLAR AVE   ","FLINT",48504,"FS0925","Unknown","KITCHEN",3,"30-Mar-16","Lead",2,"Copper",0,"KELLAR AVE   ","FLINT",48504,"FS0925","Unknown","KITCHEN",4
"72","24-Feb-16","Lead",0,"Copper",70,"DARYLL DR   ","FLINT",48505,"FS0994","Copper","KITCHEN",1,"02-Mar-16","Lead",0,"Copper",70,"DARYLL DR   ","FLINT",48505,"FS0994","Copper","KITCHEN",2,"16-Mar-16","Lead",0,"Copper",0,"DARYLL DR   ","FLINT",48505,"FS0994","Copper","BATHROOM",3,"30-Mar-16","Lead",0,"Copper",160,"DARYLL DR   ","FLINT",48505,"FS0994","Copper","BATHROOM",4
"556","24-Feb-16","Lead",3,"Copper",380,"HOGARTH AVE   ","FLINT",48503,"FS1014","Lead","KITCHEN",1,"02-Mar-16","Lead",14,"Copper",410,"HOGARTH AVE   ","FLINT",48503,"FS1014","Lead","KITCHEN",2,"16-Mar-16","Lead",3,"Copper",280,"HOGARTH AVE   ","FLINT",48503,"FS1014","Lead","KITCHEN",3,"30-Mar-16","Lead",421,"Copper",4970,"HOGARTH AVE   ","FLINT",48503,"FS1014","Lead","KITCHEN",4
"320","24-Feb-16","Lead",4,"Copper",60,"PIERCE ST   ","FLINT",48503,"FS1043","Copper","KITCHEN",1,"02-Mar-16","Lead",5,"Copper",50,"PIERCE ST   ","FLINT",48503,"FS1043","Copper","KITCHEN",2,"17-Mar-16","Lead",0,"Copper",100,"PIERCE ST   ","FLINT",48503,"FS1043","Copper","KITCHEN",3,"30-Mar-16","Lead",5,"Copper",60,"PIERCE ST   ","FLINT",48503,"FS1043","Copper","KITCHEN",4
"498","24-Feb-16","Lead",3,"Copper",0,"MASON ST   ","FLINT",48505,"FS1060","Galvanized","KITCHEN",1,"02-Mar-16","Lead",2,"Copper",100,"MASON ST   ","FLINT",48505,"FS1060","Galvanized","BATHROOM",2,"16-Mar-16","Lead",3,"Copper",0,"MASON ST   ","FLINT",48505,"FS1060","Galvanized","KITCHEN",3,"04-Apr-16","Lead",2,"Copper",0,"MASON ST   ","FLINT",48505,"FS1060","Galvanized","KITCHEN",4
"517","24-Feb-16","Lead",6,"Copper",80,"WHITNEY AVE   ","FLINT",48532,"FS1075","Galvanized","KITCHEN",1,"02-Mar-16","Lead",4,"Copper",50,"WHITNEY AVE   ","FLINT",48532,"FS1075","Galvanized","KITCHEN",2,"16-Mar-16","Lead",8,"Copper",80,"WHITNEY AVE   ","FLINT",48532,"FS1075","Galvanized","KITCHEN",3,"30-Mar-16","Lead",1,"Copper",0,"WHITNEY AVE   ","FLINT",48532,"FS1075","Galvanized","KITCHEN",4
"438","24-Feb-16","Lead",0,"Copper",190,"MASON ST   ","FLINT",48505,"FS1077","Galvanized","KITCHEN",1,"02-Mar-16","Lead",387,"Copper",90,"MASON ST   ","FLINT",48505,"FS1077","Galvanized","KITCHEN",2,"16-Mar-16","Lead",141,"Copper",70,"MASON ST   ","FLINT",48505,"FS1077","Galvanized","KITCHEN",3,"30-Mar-16","Lead",93,"Copper",0,"MASON ST   ","FLINT",48505,"FS1077","Galvanized","KITCHEN",4
"80","24-Feb-16","Lead",0,"Copper",0,"ARLENE AVE   ","FLINT",48532,"FS1079","Copper","KITCHEN",1,"02-Mar-16","Lead",0,"Copper",60,"ARLENE AVE   ","FLINT",48532,"FS1079","Copper","KITCHEN",2,"16-Mar-16","Lead",1,"Copper",80,"ARLENE AVE   ","FLINT",48532,"FS1079","Copper","KITCHEN",3,"30-Mar-16","Lead",0,"Copper",70,"ARLENE AVE   ","FLINT",48532,"FS1079","Copper","BATHROOM",4
"292","24-Feb-16","Lead",3,"Copper",150,"CLAIRMONT ST   ","FLINT",48503,"FS1125","Copper","KITCHEN",1,"02-Mar-16","Lead",4,"Copper",130,"CLAIRMONT ST   ","FLINT",48503,"FS1125","Copper","KITCHEN",2,"16-Mar-16","Lead",2,"Copper",100,"CLAIRMONT ST   ","FLINT",48503,"FS1125","Copper","KITCHEN",3,"31-Mar-16","Lead",2,"Copper",110,"CLAIRMONT ST   ","FLINT",48503,"FS1125","Copper","KITCHEN",4
"83","25-Feb-16","Lead",0,"Copper",50,"AVENUE B   ","FLINT",48503,"FS1128","Copper","KITCHEN",1,"02-Mar-16","Lead",0,"Copper",0,"AVENUE B   ","FLINT",48503,"FS1128","Copper","BATHROOM",2,"16-Mar-16","Lead",0,"Copper",60,"AVENUE B   ","FLINT",48503,"FS1128","Copper","BATHROOM",3,"30-Mar-16","Lead",0,"Copper",0,"AVENUE B   ","FLINT",48503,"FS1128","Copper","BATHROOM",4
"209","25-Feb-16","Lead",1,"Copper",0,"E AUSTIN AVE  ","FLINT",48505,"FS1167","Copper","BATHROOM",1,"07-Mar-16","Lead",2,"Copper",0,"E AUSTIN AVE  ","FLINT",48505,"FS1167","Copper","BATHROOM",2,"16-Mar-16","Lead",2,"Copper",0,"E AUSTIN AVE  ","FLINT",48505,"FS1167","Copper","BATHROOM",3,"31-Mar-16","Lead",1,"Copper",0,"E AUSTIN AVE  ","FLINT",48505,"FS1167","Copper","BATHROOM",4
"84","24-Feb-16","Lead",0,"Copper",0,"E GENESEE ST  ","FLINT",48505,"FS1171","Copper","KITCHEN",1,"02-Mar-16","Lead",0,"Copper",0,"E GENESEE ST  ","FLINT",48505,"FS1171","Copper","KITCHEN",2,"16-Mar-16","Lead",0,"Copper",0,"E GENESEE ST  ","FLINT",48505,"FS1171","Copper","KITCHEN",3,"31-Mar-16","Lead",0,"Copper",0,"E GENESEE ST  ","FLINT",48505,"FS1171","Copper","KITCHEN",4
"293","24-Feb-16","Lead",3,"Copper",0,"HILLS ST   ","FLINT",48503,"FS1173","Copper","KITCHEN",1,"02-Mar-16","Lead",0,"Copper",0,"HILLS ST   ","FLINT",48503,"FS1173","Copper","KITCHEN",2,"16-Mar-16","Lead",0,"Copper",0,"HILLS ST   ","FLINT",48503,"FS1173","Copper","KITCHEN",3,"04-Apr-16","Lead",0,"Copper",0,"HILLS ST   ","FLINT",48503,"FS1173","Copper","KITCHEN",4
"85","25-Feb-16","Lead",0,"Copper",60,"W FOSS AVE  ","FLINT",48505,"FS1202","Copper","KITCHEN",1,"02-Mar-16","Lead",0,"Copper",0,"W FOSS AVE  ","FLINT",48505,"FS1202","Copper","KITCHEN",2,"16-Mar-16","Lead",0,"Copper",0,"W FOSS AVE  ","FLINT",48505,"FS1202","Copper","KITCHEN",3,"30-Mar-16","Lead",0,"Copper",0,"W FOSS AVE  ","FLINT",48505,"FS1202","Copper","BATHROOM",4
"88","24-Feb-16","Lead",0,"Copper",90,"E CARPENTER RD  ","FLINT",48505,"FS1208","Copper","KITCHEN",1,"04-Mar-16","Lead",8,"Copper",50,"E CARPENTER RD  ","FLINT",48505,"FS1208","Copper","KITCHEN",2,"17-Mar-16","Lead",4,"Copper",130,"E CARPENTER RD  ","FLINT",48505,"FS1208","Copper","BATHROOM",3,"30-Mar-16","Lead",0,"Copper",140,"E CARPENTER RD  ","FLINT",48505,"FS1208","Copper","KITCHEN",4
"92","24-Feb-16","Lead",0,"Copper",0,"LARCHMONT ST   ","FLINT",48503,"FS1226","Copper","KITCHEN",1,"02-Mar-16","Lead",0,"Copper",0,"LARCHMONT ST   ","FLINT",48503,"FS1226","Copper","KITCHEN",2,"16-Mar-16","Lead",0,"Copper",0,"LARCHMONT ST   ","FLINT",48503,"FS1226","Copper","KITCHEN",3,"30-Mar-16","Lead",0,"Copper",0,"LARCHMONT ST   ","FLINT",48503,"FS1226","Copper","KITCHEN",4
"340","24-Feb-16","Lead",5,"Copper",0,"LARCHMONT ST   ","FLINT",48503,"FS1227","Copper","KITCHEN",1,"02-Mar-16","Lead",6,"Copper",0,"LARCHMONT ST   ","FLINT",48503,"FS1227","Copper","KITCHEN",2,"16-Mar-16","Lead",6,"Copper",0,"LARCHMONT ST   ","FLINT",48503,"FS1227","Copper","KITCHEN",3,"30-Mar-16","Lead",7,"Copper",0,"LARCHMONT ST   ","FLINT",48503,"FS1227","Copper","KITCHEN",4
"261","25-Feb-16","Lead",2,"Copper",60,"LAWNDALE AVE   ","FLINT",48504,"FS1361","Copper","KITCHEN",1,"03-Mar-16","Lead",2,"Copper",0,"LAWNDALE AVE   ","FLINT",48504,"FS1361","Copper","KITCHEN",2,"17-Mar-16","Lead",4,"Copper",60,"LAWNDALE AVE   ","FLINT",48504,"FS1361","Copper","KITCHEN",3,"01-Apr-16","Lead",3,"Copper",70,"LAWNDALE AVE   ","FLINT",48504,"FS1361","Copper","KITCHEN",4
"571","24-Feb-16","Lead",7,"Copper",0,"CLINTON ST   ","FLINT",48507,"FS1382","Lead","KITCHEN",1,"02-Mar-16","Lead",11,"Copper",60,"CLINTON ST   ","FLINT",48507,"FS1382","Lead","BATHROOM",2,"16-Mar-16","Lead",12,"Copper",0,"CLINTON ST   ","FLINT",48507,"FS1382","Lead","KITCHEN",3,"30-Mar-16","Lead",7,"Copper",0,"CLINTON ST   ","FLINT",48507,"FS1382","Lead","KITCHEN",4
"102","25-Feb-16","Lead",0,"Copper",0,"WINTHROP BLVD   ","FLINT",48505,"FS1415","Copper","KITCHEN",1,"02-Mar-16","Lead",1,"Copper",0,"WINTHROP BLVD   ","FLINT",48505,"FS1415","Copper","KITCHEN",2,"16-Mar-16","Lead",0,"Copper",0,"WINTHROP BLVD   ","FLINT",48505,"FS1415","Copper","BATHROOM",3,"30-Mar-16","Lead",0,"Copper",0,"WINTHROP BLVD   ","FLINT",48505,"FS1415","Copper","BATHROOM",4
"443","24-Feb-16","Lead",0,"Copper",0,"DUPONT ST   ","FLINT",48504,"FS1422","Galvanized","KITCHEN",1,"04-Mar-16","Lead",0,"Copper",0,"DUPONT ST   ","FLINT",48504,"FS1422","Galvanized","KITCHEN",2,"16-Mar-16","Lead",1,"Copper",0,"DUPONT ST   ","FLINT",48504,"FS1422","Galvanized","KITCHEN",3,"30-Mar-16","Lead",8,"Copper",0,"DUPONT ST   ","FLINT",48504,"FS1422","Galvanized","KITCHEN",4
"108","25-Feb-16","Lead",0,"Copper",80,"W GENESEE ST  ","FLINT",48505,"FS1480","Copper","KITCHEN",1,"07-Mar-16","Lead",0,"Copper",80,"W GENESEE ST  ","FLINT",48505,"FS1480","Copper","KITCHEN",2,"16-Mar-16","Lead",55,"Copper",530,"W GENESEE ST  ","FLINT",48505,"FS1480","Copper","BATHROOM",3,"04-Apr-16","Lead",0,"Copper",80,"W GENESEE ST  ","FLINT",48505,"FS1480","Copper","KITCHEN",4
"110","25-Feb-16","Lead",0,"Copper",0,"W MC CLELLAN ST ","FLINT",48505,"FS1532","Copper","BATHROOM",1,"02-Mar-16","Lead",0,"Copper",0,"W MC CLELLAN ST ","FLINT",48505,"FS1532","Copper","BATHROOM",2,"17-Mar-16","Lead",6,"Copper",50,"W MC CLELLAN ST ","FLINT",48505,"FS1532","Copper","BATHROOM",3,"30-Mar-16","Lead",4,"Copper",0,"W MC CLELLAN ST ","FLINT",48505,"FS1532","Copper","BATHROOM",4
"295","24-Feb-16","Lead",3,"Copper",60,"WALDMAN AVE   ","FLINT",48507,"FS1573","Copper","KITCHEN",1,"02-Mar-16","Lead",2,"Copper",0,"WALDMAN AVE   ","FLINT",48507,"FS1573","Copper","KITCHEN",2,"16-Mar-16","Lead",2,"Copper",0,"WALDMAN AVE   ","FLINT",48507,"FS1573","Copper","KITCHEN",3,"31-Mar-16","Lead",1,"Copper",0,"WALDMAN AVE   ","FLINT",48507,"FS1573","Copper","KITCHEN",4
"112","24-Feb-16","Lead",0,"Copper",0,"NOLEN DR   ","FLINT",48504,"FS1578","Copper","KITCHEN",1,"02-Mar-16","Lead",0,"Copper",0,"NOLEN DR   ","FLINT",48504,"FS1578","Copper","KITCHEN",2,"16-Mar-16","Lead",0,"Copper",0,"NOLEN DR   ","FLINT",48504,"FS1578","Copper","BATHROOM",3,"30-Mar-16","Lead",0,"Copper",0,"NOLEN DR   ","FLINT",48504,"FS1578","Copper","BATHROOM",4
"115","24-Feb-16","Lead",0,"Copper",0,"E BAKER ST  ","FLINT",48505,"FS1597","Copper","KITCHEN",1,"02-Mar-16","Lead",1,"Copper",0,"E BAKER ST  ","FLINT",48505,"FS1597","Copper","KITCHEN",2,"16-Mar-16","Lead",2,"Copper",0,"E BAKER ST  ","FLINT",48505,"FS1597","Copper","KITCHEN",3,"30-Mar-16","Lead",30,"Copper",0,"E BAKER ST  ","FLINT",48505,"FS1597","Copper","KITCHEN",4
"502","24-Feb-16","Lead",3,"Copper",0,"PIERCE ST   ","FLINT",48503,"FS1599","Galvanized","KITCHEN",1,"02-Mar-16","Lead",2,"Copper",0,"PIERCE ST   ","FLINT",48503,"FS1599","Galvanized","KITCHEN",2,"16-Mar-16","Lead",3,"Copper",0,"PIERCE ST   ","FLINT",48503,"FS1599","Galvanized","KITCHEN",3,"30-Mar-16","Lead",0,"Copper",0,"PIERCE ST   ","FLINT",48503,"FS1599","Galvanized","KITCHEN",4
"264","24-Feb-16","Lead",2,"Copper",110,"E ALMA AVE  ","FLINT",48505,"FS1604","Copper","KITCHEN",1,"02-Mar-16","Lead",0,"Copper",70,"E ALMA AVE  ","FLINT",48505,"FS1604","Copper","KITCHEN",2,"18-Mar-16","Lead",0,"Copper",120,"E ALMA AVE  ","FLINT",48505,"FS1604","Copper","KITCHEN",3,"30-Mar-16","Lead",0,"Copper",90,"E ALMA AVE  ","FLINT",48505,"FS1604","Copper","KITCHEN",4
"117","24-Feb-16","Lead",0,"Copper",0,"MASON ST   ","FLINT",48505,"FS1627","Copper","KITCHEN",1,"03-Mar-16","Lead",0,"Copper",0,"MASON ST   ","FLINT",48505,"FS1627","Copper","KITCHEN",2,"16-Mar-16","Lead",0,"Copper",0,"MASON ST   ","FLINT",48505,"FS1627","Copper","KITCHEN",3,"30-Mar-16","Lead",0,"Copper",0,"MASON ST   ","FLINT",48505,"FS1627","Copper","KITCHEN",4
"447","24-Feb-16","Lead",0,"Copper",0,"BLANCHARD AVE   ","FLINT",48503,"FS1630","Galvanized","BATHROOM",1,"02-Mar-16","Lead",0,"Copper",0,"BLANCHARD AVE   ","FLINT",48503,"FS1630","Galvanized","BATHROOM",2,"16-Mar-16","Lead",0,"Copper",0,"BLANCHARD AVE   ","FLINT",48503,"FS1630","Galvanized","BATHROOM",3,"30-Mar-16","Lead",0,"Copper",0,"BLANCHARD AVE   ","FLINT",48503,"FS1630","Galvanized","BATHROOM",4
"448","25-Feb-16","Lead",0,"Copper",70,"BARTH ST   ","FLINT",48504,"FS1665","Galvanized","KITCHEN",1,"02-Mar-16","Lead",0,"Copper",0,"BARTH ST   ","FLINT",48504,"FS1665","Galvanized","KITCHEN",2,"16-Mar-16","Lead",0,"Copper",60,"BARTH ST   ","FLINT",48504,"FS1665","Galvanized","KITCHEN",3,"30-Mar-16","Lead",0,"Copper",130,"BARTH ST   ","FLINT",48504,"FS1665","Galvanized","KITCHEN",4
"124","24-Feb-16","Lead",0,"Copper",90,"CASSIUS ST   ","FLINT",48505,"FS1690","Copper","KITCHEN",1,"02-Mar-16","Lead",17,"Copper",80,"CASSIUS ST   ","FLINT",48505,"FS1690","Copper","BATHROOM",2,"16-Mar-16","Lead",0,"Copper",0,"CASSIUS ST   ","FLINT",48505,"FS1690","Copper","KITCHEN",3,"30-Mar-16","Lead",0,"Copper",0,"CASSIUS ST   ","FLINT",48505,"FS1690","Copper","KITCHEN",4
"450","26-Feb-16","Lead",0,"Copper",260,"JANE AVE   ","FLINT",48506,"FS1738","Galvanized","KITCHEN",1,"02-Mar-16","Lead",1,"Copper",0,"JANE AVE   ","FLINT",48506,"FS1738","Galvanized","KITCHEN",2,"16-Mar-16","Lead",1,"Copper",70,"JANE AVE   ","FLINT",48506,"FS1738","Galvanized","BATHROOM",3,"30-Mar-16","Lead",1,"Copper",0,"JANE AVE   ","FLINT",48506,"FS1738","Galvanized","BATHROOM",4
"397","24-Feb-16","Lead",30,"Copper",0,"BLANCHARD AVE   ","FLINT",48503,"FS1749","Copper","BATHROOM",1,"02-Mar-16","Lead",8,"Copper",0,"BLANCHARD AVE   ","FLINT",48503,"FS1749","Copper","BATHROOM",2,"16-Mar-16","Lead",0,"Copper",0,"BLANCHARD AVE   ","FLINT",48503,"FS1749","Copper","BATHROOM",3,"30-Mar-16","Lead",0,"Copper",0,"BLANCHARD AVE   ","FLINT",48503,"FS1749","Copper","BATHROOM",4
"298","24-Feb-16","Lead",3,"Copper",170,"ALLENDALE PL   ","FLINT",48503,"FS1864","Copper","KITCHEN",1,"02-Mar-16","Lead",2,"Copper",210,"ALLENDALE PL   ","FLINT",48503,"FS1864","Copper","KITCHEN",2,"16-Mar-16","Lead",8,"Copper",210,"ALLENDALE PL   ","FLINT",48503,"FS1864","Copper","KITCHEN",3,"30-Mar-16","Lead",6,"Copper",170,"ALLENDALE PL   ","FLINT",48503,"FS1864","Copper","KITCHEN",4
"130","24-Feb-16","Lead",0,"Copper",0,"MASON ST   ","FLINT",48505,"FS1891","Copper","KITCHEN",1,"02-Mar-16","Lead",2,"Copper",0,"MASON ST   ","FLINT",48505,"FS1891","Copper","KITCHEN",2,"16-Mar-16","Lead",0,"Copper",0,"MASON ST   ","FLINT",48505,"FS1891","Copper","KITCHEN",3,"30-Mar-16","Lead",0,"Copper",0,"MASON ST   ","FLINT",48505,"FS1891","Copper","KITCHEN",4
"521","24-Feb-16","Lead",7,"Copper",70,"GREEN ST   ","FLINT",48503,"FS1900","Galvanized","KITCHEN",1,"02-Mar-16","Lead",4,"Copper",0,"GREEN ST   ","FLINT",48503,"FS1900","Galvanized","KITCHEN",2,"16-Mar-16","Lead",6,"Copper",0,"GREEN ST   ","FLINT",48503,"FS1900","Galvanized","KITCHEN",3,"30-Mar-16","Lead",3,"Copper",0,"GREEN ST   ","FLINT",48503,"FS1900","Galvanized","KITCHEN",4
"558","24-Feb-16","Lead",3,"Copper",0,"E GENESEE ST  ","FLINT",48505,"FS1964","Lead","KITCHEN",1,"02-Mar-16","Lead",1,"Copper",0,"E GENESEE ST  ","FLINT",48505,"FS1964","Lead","KITCHEN",2,"16-Mar-16","Lead",0,"Copper",0,"E GENESEE ST  ","FLINT",48505,"FS1964","Lead","KITCHEN",3,"30-Mar-16","Lead",0,"Copper",0,"E GENESEE ST  ","FLINT",48505,"FS1964","Lead","KITCHEN",4
"589","24-Feb-16","Lead",0,"Copper",0,"GREENFIELD AVE   ","FLINT",48503,"FS2001","Unknown","KITCHEN",1,"02-Mar-16","Lead",4,"Copper",0,"GREENFIELD AVE   ","FLINT",48503,"FS2001","Unknown","BATHROOM",2,"16-Mar-16","Lead",3,"Copper",0,"GREENFIELD AVE   ","FLINT",48503,"FS2001","Unknown","BATHROOM",3,"30-Mar-16","Lead",1,"Copper",0,"GREENFIELD AVE   ","FLINT",48503,"FS2001","Unknown","BATHROOM",4
"536","24-Feb-16","Lead",25,"Copper",0,"CLAIRMONT ST   ","FLINT",48503,"FS2002","Galvanized","KITCHEN",1,"02-Mar-16","Lead",12,"Copper",0,"CLAIRMONT ST   ","FLINT",48503,"FS2002","Galvanized","KITCHEN",2,"16-Mar-16","Lead",4,"Copper",0,"CLAIRMONT ST   ","FLINT",48503,"FS2002","Galvanized","KITCHEN",3,"31-Mar-16","Lead",30,"Copper",0,"CLAIRMONT ST   ","FLINT",48503,"FS2002","Galvanized","KITCHEN",4
"389","26-Feb-16","Lead",18,"Copper",220,"DALE AVE   ","FLINT",48506,"FS2009","Copper","BATHROOM",1,"02-Mar-16","Lead",38,"Copper",240,"DALE AVE   ","FLINT",48506,"FS2009","Copper","KITCHEN",2,"16-Mar-16","Lead",6,"Copper",340,"DALE AVE   ","FLINT",48506,"FS2009","Copper","KITCHEN",3,"01-Apr-16","Lead",11,"Copper",460,"DALE AVE   ","FLINT",48506,"FS2009","Copper","KITCHEN",4
"374","24-Feb-16","Lead",10,"Copper",100,"HOGARTH AVE   ","FLINT",48532,"FS2018","Copper","KITCHEN",1,"07-Mar-16","Lead",7,"Copper",80,"HOGARTH AVE   ","FLINT",48532,"FS2018","Copper","KITCHEN",2,"16-Mar-16","Lead",1,"Copper",60,"HOGARTH AVE   ","FLINT",48532,"FS2018","Copper","BATHROOM",3,"30-Mar-16","Lead",5,"Copper",60,"HOGARTH AVE   ","FLINT",48532,"FS2018","Copper","KITCHEN",4
"149","24-Feb-16","Lead",0,"Copper",150,"E GENESEE ST  ","FLINT",48505,"FS2040","Copper","KITCHEN",1,"02-Mar-16","Lead",2,"Copper",190,"E GENESEE ST  ","FLINT",48505,"FS2040","Copper","BATHROOM",2,"16-Mar-16","Lead",6,"Copper",0,"E GENESEE ST  ","FLINT",48505,"FS2040","Copper","BATHROOM",3,"31-Mar-16","Lead",4,"Copper",110,"E GENESEE ST  ","FLINT",48505,"FS2040","Copper","BATHROOM",4
"486","24-Feb-16","Lead",2,"Copper",0,"E GENESEE ST  ","FLINT",48505,"FS2043","Galvanized","KITCHEN",1,"02-Mar-16","Lead",2,"Copper",0,"E GENESEE ST  ","FLINT",48505,"FS2043","Galvanized","KITCHEN",2,"16-Mar-16","Lead",2,"Copper",0,"E GENESEE ST  ","FLINT",48505,"FS2043","Galvanized","KITCHEN",3,"30-Mar-16","Lead",2,"Copper",0,"E GENESEE ST  ","FLINT",48505,"FS2043","Galvanized","KITCHEN",4
"599","24-Feb-16","Lead",2,"Copper",280,"BROOKSIDE DR   ","FLINT",48503,"FS2061","Unknown","KITCHEN",1,"02-Mar-16","Lead",0,"Copper",200,"BROOKSIDE DR   ","FLINT",48503,"FS2061","Unknown","KITCHEN",2,"16-Mar-16","Lead",0,"Copper",160,"BROOKSIDE DR   ","FLINT",48503,"FS2061","Unknown","KITCHEN",3,"31-Mar-16","Lead",0,"Copper",180,"BROOKSIDE DR   ","FLINT",48503,"FS2061","Unknown","KITCHEN",4
"610","24-Feb-16","Lead",8,"Copper",0,"E COURT ST  ","FLINT",48503,"FS2080","Unknown","BATHROOM",1,"02-Mar-16","Lead",8,"Copper",0,"E COURT ST  ","FLINT",48503,"FS2080","Unknown","BATHROOM",2,"16-Mar-16","Lead",3,"Copper",0,"E COURT ST  ","FLINT",48503,"FS2080","Unknown","BATHROOM",3,"30-Mar-16","Lead",4,"Copper",0,"E COURT ST  ","FLINT",48503,"FS2080","Unknown","BATHROOM",4
"455","24-Feb-16","Lead",0,"Copper",170,"E MC CLELLAN ST ","FLINT",48505,"FS2131","Galvanized","BATHROOM",1,"02-Mar-16","Lead",4,"Copper",120,"E MC CLELLAN ST ","FLINT",48505,"FS2131","Galvanized","BATHROOM",2,"16-Mar-16","Lead",2,"Copper",110,"E MC CLELLAN ST ","FLINT",48505,"FS2131","Galvanized","BATHROOM",3,"30-Mar-16","Lead",1,"Copper",90,"E MC CLELLAN ST ","FLINT",48505,"FS2131","Galvanized","BATHROOM",4
"343","24-Feb-16","Lead",5,"Copper",60,"HILLS ST   ","FLINT",48503,"FS2199","Copper","KITCHEN",1,"02-Mar-16","Lead",0,"Copper",60,"HILLS ST   ","FLINT",48503,"FS2199","Copper","KITCHEN",2,"16-Mar-16","Lead",1,"Copper",0,"HILLS ST   ","FLINT",48503,"FS2199","Copper","BATHROOM",3,"30-Mar-16","Lead",0,"Copper",70,"HILLS ST   ","FLINT",48503,"FS2199","Copper","KITCHEN",4
